Date,24HPass,3DPass,7DPass,Trips,Miles,Year,Month,Day,MonthYear,revenue,LogTrips
2013-08-12,1314.0,0.0,257.0,35646,62.896,2013,8,12,2013-08-01,19499.3,10.481392217583796
2013-08-13,787.0,0.0,111.0,25569,44.374,2013,8,13,2013-08-01,10605.65,10.149135959190406
2013-08-14,1727.0,0.0,219.0,43437,78.48100000000002,2013,8,14,2013-08-01,22658.649999999998,10.679066891449532
2013-08-15,1733.0,0.0,179.0,42922,76.29899999999998,2013,8,15,2013-08-01,21718.35,10.667139793981427
2013-08-16,2085.0,0.0,170.0,41251,77.044,2013,8,16,2013-08-01,24995.75,10.627430633893226
2013-08-17,5729.0,0.0,217.0,44284,104.29,2013,8,17,2013-08-01,62428.549999999996,10.698378716979358
2013-08-18,2524.0,0.0,160.0,31512,62.738,2013,8,18,2013-08-01,29113.8,10.358123704650742
2013-08-19,1395.0,0.0,236.0,37922,65.704,2013,8,19,2013-08-01,19780.25,10.54328669759415
2013-08-20,1491.0,0.0,233.0,41155,72.697,2013,8,20,2013-08-01,20660.449999999997,10.625100705406744
2013-08-21,1365.0,0.0,176.0,41718,73.19800000000002,2013,8,21,2013-08-01,17981.75,10.638687969327073
2013-08-22,787.0,0.0,128.0,30747,51.255,2013,8,22,2013-08-01,11030.65,10.333547707499672
2013-08-23,1965.0,0.0,157.0,38716,72.175,2013,8,23,2013-08-01,23476.75,10.564008230268978
2013-08-24,3933.0,0.0,194.0,38049,81.05199999999998,2013,8,24,2013-08-01,43983.35,10.54663008173554
2013-08-25,3626.0,0.0,199.0,36641,80.733,2013,8,25,2013-08-01,41053.7,10.50892311099205
2013-08-26,1098.0,0.0,190.0,34812,61.473,2013,8,26,2013-08-01,15675.099999999999,10.457717433909405
2013-08-27,1222.0,0.0,188.0,39258,67.086,2013,8,27,2013-08-01,16858.9,10.577910524097794
2013-08-28,765.0,0.0,102.0,32262,53.456,2013,8,28,2013-08-01,10161.75,10.381645346037732
2013-08-29,1363.0,0.0,141.0,38626,65.917,2013,8,29,2013-08-01,17086.85,10.561680903832544
2013-08-30,1872.0,0.0,165.0,36870,67.249,2013,8,30,2013-08-01,22751.399999999998,10.51515349122819
2013-08-31,3064.0,0.0,174.0,28547,60.049,2013,8,31,2013-08-01,34836.8,10.259307130753884
2013-09-01,3273.0,0.0,148.0,28330,61.096,2013,9,1,2013-09-01,36266.35,10.251676592824563
2013-09-02,1829.0,0.0,121.0,24094,46.06,2013,9,2,2013-09-01,21223.55,10.089718125826797
2013-09-03,1015.0,0.0,157.0,36963,62.807,2013,9,3,2013-09-01,14024.25,10.517672691292779
2013-09-04,1263.0,0.0,176.0,42085,73.70100000000002,2013,9,4,2013-09-01,16966.85,10.647446661645677
2013-09-05,1354.0,0.0,185.0,40817,70.544,2013,9,5,2013-09-01,18097.3,10.616853940277469
2013-09-06,1556.0,0.0,155.0,40930,72.124,2013,9,6,2013-09-01,19357.199999999997,10.619618569486448
2013-09-07,3600.0,0.0,200.0,38950,80.08,2013,9,7,2013-09-01,40820.0,10.570034051298894
2013-09-08,3025.0,0.0,182.0,37536,76.32600000000002,2013,9,8,2013-09-01,34648.75,10.533055751453203
2013-09-09,1060.0,0.0,203.0,40539,70.71300000000002,2013,9,9,2013-09-01,15622.0,10.610019752706195
2013-09-10,986.0,0.0,182.0,42038,71.115,2013,9,10,2013-09-01,14360.699999999999,10.646329250119924
2013-09-11,1046.0,0.0,147.0,40533,67.437,2013,9,11,2013-09-01,14082.699999999999,10.609871736128069
2013-09-12,756.0,0.0,126.0,35065,56.447,2013,9,12,2013-09-01,10672.2,10.46495876097101
2013-09-13,1375.0,0.0,145.0,41200,70.84899999999998,2013,9,13,2013-09-01,17306.25,10.626193535337618
2013-09-14,3035.0,0.0,153.0,35363,69.18,2013,9,14,2013-09-01,34023.25,10.473421354781692
2013-09-15,3010.0,0.0,167.0,35843,72.551,2013,9,15,2013-09-01,34124.5,10.486903568942912
2013-09-16,781.0,0.0,149.0,35106,56.195,2013,9,16,2013-09-01,11495.95,10.46612733501629
2013-09-17,971.0,0.0,170.0,43117,70.847,2013,9,17,2013-09-01,13911.449999999999,10.671672629878687
2013-09-18,1078.0,0.0,152.0,42936,71.355,2013,9,18,2013-09-01,14526.099999999999,10.667465913856665
2013-09-19,1209.0,0.0,154.0,43920,73.65899999999998,2013,9,19,2013-09-01,15879.55,10.690125076183412
2013-09-20,1631.0,0.0,156.0,43895,75.094,2013,9,20,2013-09-01,20128.449999999997,10.689555697360309
2013-09-21,3096.0,0.0,132.0,35348,70.321,2013,9,21,2013-09-01,34105.2,10.472997092637895
2013-09-22,2479.0,0.0,136.0,33105,64.758,2013,9,22,2013-09-01,28066.05,10.407439607358947
2013-09-23,1006.0,0.0,171.0,38963,64.157,2013,9,23,2013-09-01,14284.699999999999,10.570367756845354
2013-09-24,1158.0,0.0,153.0,42954,70.402,2013,9,24,2013-09-01,15347.099999999999,10.66788505462424
2013-09-25,966.0,0.0,133.0,42639,70.5,2013,9,25,2013-09-01,12936.699999999999,10.66052460640712
2013-09-26,973.0,0.0,117.0,42247,68.646,2013,9,26,2013-09-01,12606.349999999999,10.65128862434712
2013-09-27,1321.0,0.0,137.0,41368,68.977,2013,9,27,2013-09-01,16568.949999999997,10.630262914076058
2013-09-28,3452.0,0.0,126.0,38939,78.4,2013,9,28,2013-09-01,37497.399999999994,10.569751598062284
2013-09-29,2718.0,0.0,161.0,36040,70.652,2013,9,29,2013-09-01,31069.1,10.492384711722273
2013-09-30,1023.0,0.0,140.0,41079,67.168,2013,9,30,2013-09-01,13678.849999999999,10.623252321000344
2013-10-01,0.0,0.0,0.0,44772,73.665,2013,10,1,2013-10-01,0.0,10.709338223009158
2013-10-02,0.0,0.0,0.0,45667,76.149,2013,10,2,2013-10-01,0.0,10.729131215385586
2013-10-03,0.0,0.0,0.0,44472,72.635,2013,10,3,2013-10-01,0.0,10.702615056633306
2013-10-04,0.0,0.0,0.0,44089,74.223,2013,10,4,2013-10-01,0.0,10.693965597214751
2013-10-05,0.0,0.0,0.0,37683,73.892,2013,10,5,2013-10-01,0.0,10.536964343355363
2013-10-06,0.0,0.0,0.0,29029,49.887,2013,10,6,2013-10-01,0.0,10.276050609301695
2013-10-07,0.0,0.0,0.0,27504,40.324,2013,10,7,2013-10-01,0.0,10.22208672762263
2013-10-08,0.0,0.0,0.0,42200,69.116,2013,10,8,2013-10-01,0.0,10.650175500024103
2013-10-09,0.0,0.0,0.0,40607,62.214,2013,10,9,2013-10-01,0.0,10.611695744521377
2013-10-10,0.0,0.0,0.0,34107,49.732,2013,10,10,2013-10-01,0.0,10.437257920797217
2013-10-11,0.0,0.0,0.0,36381,56.497,2013,10,11,2013-10-01,0.0,10.501801939324901
2013-10-12,0.0,0.0,0.0,35480,69.84100000000001,2013,10,12,2013-10-01,0.0,10.476724436423515
2013-10-13,0.0,0.0,0.0,31501,59.556,2013,10,13,2013-10-01,0.0,10.357774570341576
2013-10-14,0.0,0.0,0.0,36186,60.261,2013,10,14,2013-10-01,0.0,10.496427582679042
2013-10-15,0.0,0.0,0.0,41459,66.625,2013,10,15,2013-10-01,0.0,10.632460266065506
2013-10-16,0.0,0.0,0.0,40644,64.115,2013,10,16,2013-10-01,0.0,10.612606502605772
2013-10-17,0.0,0.0,0.0,40363,63.927,2013,10,17,2013-10-01,0.0,10.605668802725944
2013-10-18,0.0,0.0,0.0,41775,69.165,2013,10,18,2013-10-01,0.0,10.640053353463594
2013-10-19,0.0,0.0,0.0,32469,59.523,2013,10,19,2013-10-01,0.0,10.388041066963256
2013-10-20,0.0,0.0,0.0,32016,60.67,2013,10,20,2013-10-01,0.0,10.373991056823515
2013-10-21,0.0,0.0,0.0,38348,62.216,2013,10,21,2013-10-01,0.0,10.554457654196888
2013-10-22,0.0,0.0,0.0,39741,60.424,2013,10,22,2013-10-01,0.0,10.590138679352371
2013-10-23,0.0,0.0,0.0,35358,50.319,2013,10,23,2013-10-01,0.0,10.47327995406597
2013-10-24,0.0,0.0,0.0,35238,50.61,2013,10,24,2013-10-01,0.0,10.469880324750575
2013-10-25,0.0,0.0,0.0,33711,50.109,2013,10,25,2013-10-01,0.0,10.425579472576013
2013-10-26,0.0,0.0,0.0,26653,45.372,2013,10,26,2013-10-01,0.0,10.190656993614896
2013-10-27,0.0,0.0,0.0,25980,44.415,2013,10,27,2013-10-01,0.0,10.165082290224591
2013-10-28,0.0,0.0,0.0,34298,52.643,2013,10,28,2013-10-01,0.0,10.442842322416093
2013-10-29,0.0,0.0,0.0,36280,53.765,2013,10,29,2013-10-01,0.0,10.499021904229073
2013-10-30,0.0,0.0,0.0,37817,54.94,2013,10,30,2013-10-01,0.0,10.540514015956738
2013-10-31,0.0,0.0,0.0,33991,51.283,2013,10,31,2013-10-01,0.0,10.43385106267516
2013-11-01,0.0,0.0,0.0,33193,52.035,2013,11,1,2013-11-01,0.0,10.410094289300497
2013-11-02,0.0,0.0,0.0,33688,64.833,2013,11,2,2013-11-01,0.0,10.424896969841763
2013-11-03,0.0,0.0,0.0,22414,34.853,2013,11,3,2013-11-01,0.0,10.017441042611972
2013-11-04,0.0,0.0,0.0,29474,42.802,2013,11,4,2013-11-01,0.0,10.291263797773208
2013-11-05,0.0,0.0,0.0,34179,49.677,2013,11,5,2013-11-01,0.0,10.439366699366225
2013-11-06,0.0,0.0,0.0,37785,58.125,2013,11,6,2013-11-01,0.0,10.53966747745482
2013-11-07,0.0,0.0,0.0,27849,38.518,2013,11,7,2013-11-01,0.0,10.234552338068042
2013-11-08,0.0,0.0,0.0,31032,45.872,2013,11,8,2013-11-01,0.0,10.342774209119803
2013-11-09,0.0,0.0,0.0,23522,39.116,2013,11,9,2013-11-01,0.0,10.065691432410983
2013-11-10,0.0,0.0,0.0,21270,33.486,2013,11,10,2013-11-01,0.0,9.965052908194282
2013-11-11,0.0,0.0,0.0,29544,43.019,2013,11,11,2013-11-01,0.0,10.293635956532398
2013-11-12,0.0,0.0,0.0,21505,27.48,2013,11,12,2013-11-01,0.0,9.976040745217837
2013-11-13,0.0,0.0,0.0,25504,33.933,2013,11,13,2013-11-01,0.0,10.146590581589942
2013-11-14,0.0,0.0,0.0,29194,40.663,2013,11,14,2013-11-01,0.0,10.281718487690524
2013-11-15,0.0,0.0,0.0,31526,47.207,2013,11,15,2013-11-01,0.0,10.358567881186488
2013-11-16,0.0,0.0,0.0,27208,48.1,2013,11,16,2013-11-01,0.0,10.211266326687031
2013-11-17,0.0,0.0,0.0,19397,29.366,2013,11,17,2013-11-01,0.0,9.872873693918292
2013-11-18,0.0,0.0,0.0,33718,52.401,2013,11,18,2013-11-01,0.0,10.425787098375746
2013-11-19,0.0,0.0,0.0,29633,40.023,2013,11,19,2013-11-01,0.0,10.296643884176694
2013-11-20,0.0,0.0,0.0,28286,37.925,2013,11,20,2013-11-01,0.0,10.250122261580445
2013-11-21,0.0,0.0,0.0,31089,43.428,2013,11,21,2013-11-01,0.0,10.344609337852328
2013-11-22,0.0,0.0,0.0,27503,38.76,2013,11,22,2013-11-01,0.0,10.222050368613774
2013-11-23,0.0,0.0,0.0,20396,31.638,2013,11,23,2013-11-01,0.0,9.923094082175046
2013-11-24,0.0,0.0,0.0,10069,12.248,2013,11,24,2013-11-01,0.0,9.217216675915616
2013-11-25,0.0,0.0,0.0,20649,26.562,2013,11,25,2013-11-01,0.0,9.935422171066474
2013-11-26,0.0,0.0,0.0,16206,20.283,2013,11,26,2013-11-01,0.0,9.693136823020671
2013-11-27,0.0,0.0,0.0,8615,10.329,2013,11,27,2013-11-01,0.0,9.06126014896203
2013-11-28,0.0,0.0,0.0,5668,8.377,2013,11,28,2013-11-01,0.0,8.64259160081057
2013-11-29,0.0,0.0,0.0,10967,15.406,2013,11,29,2013-11-01,0.0,9.302646042760209
2013-11-30,0.0,0.0,0.0,10605,15.508,2013,11,30,2013-11-01,0.0,9.269080866998783
2013-12-01,0.0,0.0,0.0,14322,21.121,2013,12,1,2013-12-01,0.0,9.569552095566886
2013-12-02,0.0,0.0,0.0,26522,37.728,2013,12,2,2013-12-01,0.0,10.185729856237545
2013-12-03,0.0,0.0,0.0,29766,42.165,2013,12,3,2013-12-01,0.0,10.301122081529105
2013-12-04,0.0,0.0,0.0,30472,43.92,2013,12,4,2013-12-01,0.0,10.32456350815844
2013-12-05,0.0,0.0,0.0,29222,41.99,2013,12,5,2013-12-01,0.0,10.28267712923203
2013-12-06,0.0,0.0,0.0,11626,14.674,2013,12,6,2013-12-01,0.0,9.360999248261296
2013-12-07,0.0,0.0,0.0,16868,24.381,2013,12,7,2013-12-01,0.0,9.73317361486645
2013-12-08,0.0,0.0,0.0,10892,14.17,2013,12,8,2013-12-01,0.0,9.295783853793651
2013-12-09,0.0,0.0,0.0,16192,20.537,2013,12,9,2013-12-01,0.0,9.692272572087193
2013-12-10,0.0,0.0,0.0,13947,17.766,2013,12,10,2013-12-01,0.0,9.543019710358694
2013-12-11,0.0,0.0,0.0,20369,25.839,2013,12,11,2013-12-01,0.0,9.92176941621414
2013-12-12,0.0,0.0,0.0,18552,23.242,2013,12,12,2013-12-01,0.0,9.828332878935367
2013-12-13,0.0,0.0,0.0,19381,25.662,2013,12,13,2013-12-01,0.0,9.872048483700748
2013-12-14,0.0,0.0,0.0,3983,5.072,2013,12,14,2013-12-01,0.0,8.289790583181643
2013-12-15,0.0,0.0,0.0,8127,10.192,2013,12,15,2013-12-01,0.0,9.002947130753205
2013-12-16,0.0,0.0,0.0,16842,21.353,2013,12,16,2013-12-01,0.0,9.731631045589937
2013-12-17,0.0,0.0,0.0,8552,11.009,2013,12,17,2013-12-01,0.0,9.053920452704881
2013-12-18,0.0,0.0,0.0,16246,21.251,2013,12,18,2013-12-01,0.0,9.6956020036109
2013-12-19,0.0,0.0,0.0,20309,26.954,2013,12,19,2013-12-01,0.0,9.91881941653311
2013-12-20,0.0,0.0,0.0,23849,33.51,2013,12,20,2013-12-01,0.0,10.07949756671628
2013-12-21,0.0,0.0,0.0,19362,32.36,2013,12,21,2013-12-01,0.0,9.871067661280017
2013-12-22,0.0,0.0,0.0,16338,26.291,2013,12,22,2013-12-01,0.0,9.701248961901815
2013-12-23,0.0,0.0,0.0,7516,9.407,2013,12,23,2013-12-01,0.0,8.924789360533357
2013-12-24,0.0,0.0,0.0,11971,15.563,2013,12,24,2013-12-01,0.0,9.39024233725137
2013-12-25,0.0,0.0,0.0,3523,5.457999999999998,2013,12,25,2013-12-01,0.0,8.167068178341237
2013-12-26,0.0,0.0,0.0,10570,13.556,2013,12,26,2013-12-01,0.0,9.265775078864284
2013-12-27,0.0,0.0,0.0,12649,17.629,2013,12,27,2013-12-01,0.0,9.445333439647541
2013-12-28,0.0,0.0,0.0,12867,21.988000000000003,2013,12,28,2013-12-01,0.0,9.46242117318499
2013-12-29,0.0,0.0,0.0,4070,4.9860000000000015,2013,12,29,2013-12-01,0.0,8.311398278436641
2013-12-30,0.0,0.0,0.0,14222,19.982,2013,12,30,2013-12-01,0.0,9.562545340443464
2013-12-31,0.0,0.0,0.0,11349,14.856,2013,12,31,2013-12-01,0.0,9.33688491330114
2014-01-01,268.0,0.0,10.0,6559,9.254,2014,1,1,2014-01-01,2916.6,8.788593431293735
2014-01-02,66.0,0.0,3.0,9334,11.736,2014,1,2,2014-01-01,731.6999999999999,9.141418926509761
2014-01-03,1.0,0.0,1.0,1288,1.855,2014,1,3,2014-01-01,34.95,7.160845906664299
2014-01-04,14.0,0.0,1.0,2494,3.706,2014,1,4,2014-01-01,164.29999999999998,7.821643126239982
2014-01-05,17.0,0.0,4.0,2937,3.72,2014,1,5,2014-01-01,269.15,7.98514393119862
2014-01-06,30.0,0.0,7.0,10481,13.015999999999998,2014,1,6,2014-01-01,473.5,9.257319373170178
2014-01-07,5.0,0.0,4.0,7144,8.2,2014,1,7,2014-01-01,149.75,8.874028122556336
2014-01-08,28.0,0.0,4.0,10162,11.768,2014,1,8,2014-01-01,378.59999999999997,9.226410552153677
2014-01-09,74.0,0.0,10.0,14571,18.401,2014,1,9,2014-01-01,986.3,9.586788531013854
2014-01-10,49.0,0.0,5.0,10685,13.433,2014,1,10,2014-01-01,612.55,9.276596167753247
2014-01-11,101.0,0.0,16.0,8333,10.735,2014,1,11,2014-01-01,1404.9499999999998,9.027978814382207
2014-01-12,350.0,0.0,22.0,13549,19.141,2014,1,12,2014-01-01,4032.4999999999995,9.51406802284643
2014-01-13,224.0,0.0,31.0,22377,30.829,2014,1,13,2014-01-01,3003.7999999999997,10.015788924623273
2014-01-14,45.0,0.0,4.0,10849,13.271,2014,1,14,2014-01-01,547.75,9.29182818882245
